date_time,series,value
2023-06-13 12:20:45,spec7,1009
2023-06-13 12:20:45,spec6,1009
2023-06-13 12:20:45,spec5,1009
2023-06-13 12:20:45,spec4,1010
2023-06-13 12:20:45,spec3,1011
2023-06-13 12:20:45,spec2,1012
2023-06-13 12:20:45,spec1,1013
2023-06-13 12:20:45,spec25,1019
2023-06-13 12:20:45,spec24,1025
2023-06-13 12:20:45,spec23,1029
2023-06-13 12:22:37,spec18,1028
2023-06-13 12:22:37,spec19,1030
2023-06-13 12:22:37,spec20,1032
2023-06-13 12:22:37,spec21,1033
2023-06-13 12:22:37,spec22,1032
2023-06-13 12:22:37,spec23,1028
2023-06-13 12:22:37,spec24,1022
2023-06-13 12:22:37,spec25,1016
2023-06-13 12:22:37,spec17,1026
2023-06-13 12:22:37,spec9,1007
2023-06-13 12:22:37,spec1,1011
2023-06-13 12:22:37,spec2,1009
2023-06-13 12:22:37,spec3,1008
2023-06-13 12:22:37,spec4,1007
2023-06-13 12:22:37,spec5,1007
2023-06-13 12:22:37,spec6,1006
2023-06-13 12:22:37,spec7,1005
2023-06-13 12:22:37,spec8,1006
2023-06-13 12:22:37,spec10,1008
2023-06-13 12:22:37,spec11,1008
2023-06-13 12:22:37,spec12,1011
2023-06-13 12:22:37,spec13,1014
2023-06-13 12:22:37,spec14,1017
2023-06-13 12:22:37,spec15,1019
2023-06-13 12:22:37,spec16,1022
2023-06-13 12:24:28,spec17,1026
2023-06-13 12:24:28,spec18,1028
2023-06-13 12:24:28,spec19,1029
2023-06-13 12:24:28,spec20,1030
2023-06-13 12:24:28,spec21,1031
2023-06-13 12:24:28,spec22,1030
2023-06-13 12:24:28,spec23,1025
2023-06-13 12:24:28,spec24,1020
2023-06-13 12:24:28,spec25,1016
2023-06-13 12:24:28,spec16,1022
2023-06-13 12:24:28,spec15,1019
2023-06-13 12:24:28,spec14,1015
2023-06-13 12:24:28,spec13,1013
2023-06-13 12:24:28,spec12,1011
2023-06-13 12:24:28,spec11,1009
2023-06-13 12:24:28,spec10,1007
2023-06-13 12:24:28,spec9,1006
2023-06-13 12:24:28,spec8,1006
2023-06-13 12:24:28,spec7,1006
2023-06-13 12:24:28,spec6,1006
2023-06-13 12:24:28,spec5,1007
2023-06-13 12:24:28,spec4,1007
2023-06-13 12:24:28,spec3,1008
2023-06-13 12:24:28,spec2,1009
2023-06-13 12:24:28,spec1,1011
2023-06-13 12:26:20,spec16,1019
2023-06-13 12:26:20,spec1,1009
2023-06-13 12:26:20,spec2,1007
2023-06-13 12:26:20,spec3,1006
2023-06-13 12:26:20,spec4,1006
2023-06-13 12:26:20,spec5,1006
2023-06-13 12:26:20,spec6,1005
2023-06-13 12:26:20,spec7,1005
2023-06-13 12:26:20,spec8,1005
2023-06-13 12:26:20,spec9,1006
2023-06-13 12:26:20,spec10,1006
2023-06-13 12:26:20,spec11,1007
2023-06-13 12:26:20,spec12,1009
2023-06-13 12:26:20,spec13,1011
2023-06-13 12:26:20,spec14,1013
2023-06-13 12:26:20,spec15,1016
2023-06-13 12:26:20,spec17,1023
2023-06-13 12:26:20,spec18,1026
2023-06-13 12:26:20,spec19,1028
2023-06-13 12:26:20,spec20,1028
2023-06-13 12:26:20,spec21,1029
2023-06-13 12:26:20,spec22,1027
2023-06-13 12:26:20,spec23,1023
2023-06-13 12:26:20,spec24,1018
2023-06-13 12:26:20,spec25,1013
2023-06-13 12:28:12,spec15,1015
2023-06-13 12:28:12,spec25,1011
2023-06-13 12:28:12,spec24,1016
2023-06-13 12:28:12,spec23,1021
2023-06-13 12:28:12,spec22,1025
2023-06-13 12:28:12,spec21,1027
2023-06-13 12:28:12,spec20,1027
2023-06-13 12:28:12,spec19,1026
2023-06-13 12:28:12,spec18,1024
2023-06-13 12:28:12,spec17,1021
2023-06-13 12:28:12,spec16,1018
2023-06-13 12:28:12,spec14,1012
2023-06-13 12:28:12,spec13,1009
2023-06-13 12:28:12,spec12,1006
2023-06-13 12:28:12,spec11,1004
2023-06-13 12:28:12,spec10,1003
2023-06-13 12:28:12,spec9,1002
2023-06-13 12:28:12,spec8,1002
2023-06-13 12:28:12,spec7,1002
2023-06-13 12:28:12,spec6,1002
2023-06-13 12:28:12,spec5,1002
2023-06-13 12:28:12,spec4,1002
2023-06-13 12:28:12,spec3,1003
2023-06-13 12:28:12,spec2,1004
2023-06-13 12:28:12,spec1,1006
2023-06-13 12:30:03,spec18,1023
2023-06-13 12:30:03,spec19,1026
2023-06-13 12:30:03,spec20,1027
2023-06-13 12:30:03,spec21,1026
2023-06-13 12:30:03,spec22,1024
2023-06-13 12:30:03,spec23,1020
2023-06-13 12:30:03,spec24,1015
2023-06-13 12:30:03,spec25,1009
2023-06-13 12:30:03,spec17,1020
2023-06-13 12:30:03,spec9,1003
2023-06-13 12:30:03,spec1,1005
2023-06-13 12:30:03,spec2,1003
2023-06-13 12:30:03,spec3,1002
2023-06-13 12:30:03,spec4,1002
2023-06-13 12:30:03,spec5,1002
2023-06-13 12:30:03,spec6,1001
2023-06-13 12:30:03,spec7,1001
2023-06-13 12:30:03,spec8,1002
2023-06-13 12:30:03,spec10,1003
2023-06-13 12:30:03,spec11,1003
2023-06-13 12:30:03,spec12,1005
2023-06-13 12:30:03,spec13,1008
2023-06-13 12:30:03,spec14,1011
2023-06-13 12:30:03,spec15,1014
2023-06-13 12:30:03,spec16,1017
2023-06-13 12:31:55,spec21,1026
2023-06-13 12:31:55,spec22,1024
2023-06-13 12:31:55,spec23,1019
2023-06-13 12:31:55,spec24,1013
2023-06-13 12:31:55,spec25,1008
2023-06-13 12:31:55,spec20,1025
2023-06-13 12:31:55,spec10,1001
2023-06-13 12:31:55,spec1,1004
2023-06-13 12:31:55,spec2,1003
2023-06-13 12:31:55,spec3,1002
2023-06-13 12:31:55,spec4,1000
2023-06-13 12:31:55,spec5,999
2023-06-13 12:31:55,spec6,999
2023-06-13 12:31:55,spec7,999
2023-06-13 12:31:55,spec8,999
2023-06-13 12:31:55,spec9,1000
2023-06-13 12:31:55,spec11,1003
2023-06-13 12:31:55,spec12,1005
2023-06-13 12:31:55,spec13,1008
2023-06-13 12:31:55,spec14,1011
2023-06-13 12:31:55,spec15,1013
2023-06-13 12:31:55,spec16,1015
2023-06-13 12:31:55,spec17,1018
2023-06-13 12:31:55,spec18,1021
2023-06-13 12:31:55,spec19,1023
2023-06-13 12:33:47,spec12,1003
2023-06-13 12:33:47,spec23,1016
2023-06-13 12:33:47,spec22,1020
2023-06-13 12:33:47,spec21,1022
2023-06-13 12:33:47,spec20,1023
2023-06-13 12:33:47,spec19,1022
2023-06-13 12:33:47,spec18,1020
2023-06-13 12:33:47,spec17,1017
2023-06-13 12:33:47,spec16,1014
2023-06-13 12:33:47,spec15,1011
2023-06-13 12:33:47,spec14,1008
2023-06-13 12:33:47,spec13,1005
2023-06-13 12:33:47,spec24,1011
2023-06-13 12:33:47,spec11,1001
2023-06-13 12:33:47,spec10,1000
2023-06-13 12:33:47,spec9,999
2023-06-13 12:33:47,spec8,998
2023-06-13 12:33:47,spec7,997
2023-06-13 12:33:47,spec6,998
2023-06-13 12:33:47,spec5,998
2023-06-13 12:33:47,spec4,998
2023-06-13 12:33:47,spec3,998
2023-06-13 12:33:47,spec2,999
2023-06-13 12:33:47,spec1,1000
2023-06-13 12:33:47,spec25,1006
